id;survey_name;survey_description;contacts_description;friendly_url;photo_url;logos_url;form_url;challengers_pool_1_url;challengers_pool_2_url;challengers_pool_3_url;number_of_matches_per_pool;number_of_matches_per_pool_2;number_of_matches_per_pool_3;matches_description;matches_description_pool_2;matches_description_pool_3;open;language;unique_challengers
1;pfft construe;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;substantial frankly;neaten sarcastic;anenst for huzzah;cautious fiddle if;whose;source blowgun wherever;than cop ill-fated;28216;9017;27306;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;ES;false
2;goose acceptable traditionalism;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;pfft;inasmuch;aha per;till even;vet;passionate unless anticodon;prejudge every;10247;17339;22190;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;FR;true
3;dead angle who;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;er;wing delirious;jubilant joshingly;popularity;defiantly dock while;towards;popularity cautiously proceed;25519;6856;23770;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;ES;false
4;blaring bestride;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;derby amidst essence;broadly amidst nectarine;furthermore hourly by;gadzooks whitewash;geez prestigious;vice boastfully limply;openly;4998;8880;15463;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;EN;true
5;eek lady;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;drat ironclad;lobotomise;patiently pfft hm;hmph dramatic;likewise deduction treble;amid mediocre;and;10559;30858;7338;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;EN;true
6;pish phooey;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;highlight;coaxingly unnaturally;whose;carefree;digestive;sleet;content;9938;1222;13078;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;ES;true
7;meanwhile;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;stale better loyally;parsnip segregate;roger plus;throughout;digestive inasmuch next;meh noisily absentmindedly;possible;8869;27216;1882;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;EN;false
8;through cope;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;lobotomise;gaseous large uniform;biodegrade;until;before planula;gah growing;accomplished sniff grumpy;23878;15899;11079;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;ES;true
9;circumference;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;phew minor;clearly reluctantly judgementally;contradict red;closely vague;without absent embossing;charming given;under in;12658;9075;7437;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;FR;true
10;eulogise wherever following;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;fort colorfully;where upon fooey;as aha;apud;until;self-reliant;lively;9759;15008;15686;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;ES;true
11;pfft construe;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;substantial frankly1;neaten sarcastic;anenst for huzzah;cautious fiddle if;whose;source blowgun wherever;than cop ill-fated;28216;9017;27306;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;ES;false
12;goose acceptable traditionalism;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;pfft1;inasmuch;aha per;till even;vet;passionate unless anticodon;prejudge every;10247;17339;22190;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;FR;true
13;dead angle who;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;er1;wing delirious;jubilant joshingly;popularity;defiantly dock while;towards;popularity cautiously proceed;25519;6856;23770;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;ES;false
14;blaring bestride;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;derby amidst essence1;broadly amidst nectarine;furthermore hourly by;gadzooks whitewash;geez prestigious;vice boastfully limply;openly;4998;8880;15463;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;EN;true
15;eek lady;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;drat ironclad1;lobotomise;patiently pfft hm;hmph dramatic;likewise deduction treble;amid mediocre;and;10559;30858;7338;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;EN;true
16;pish phooey;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;highlight1;coaxingly unnaturally;whose;carefree;digestive;sleet;content;9938;1222;13078;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;ES;true
17;meanwhile;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;stale better loyally1;parsnip segregate;roger plus;throughout;digestive inasmuch next;meh noisily absentmindedly;possible;8869;27216;1882;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;EN;false
